migration_class	count	namespaces
:bootstrap-ledger	4	tool.migrate.script|lang.core|std.foundation|std.foundation.bootstrap
:extract-symbols	18	std.block.layout|std.codec.base64|std.codec.form|std.codec.hex|std.codec.url|std.dom.diff|std.dom.item|std.dom.mock|std.dom.update|std.format.table|std.format.terminal|std.lib.collection|std.lib.component|std.fs|std.lib.time|std.logic.datalog|std.text.diff|workspace.core
:facade-conversion	17	code.test|code.vm|db.postgres|lang.runtime.basic|postgres.core|std.block|std.block.heal|std.config|std.format|std.typed|tool.lint|work.agent|work.base|work.base.runtime|work.flow.make|work.flow.task|workspace
:generator-or-internalise	30	postgres.core.addon|postgres.core.graph-base|postgres.core.graph-insert|postgres.core.graph-query|postgres.core.graph-view|postgres.core.graph-walk|postgres.core.impl|postgres.core.impl-base|postgres.core.impl-insert|postgres.core.impl-main|postgres.core.impl-update|postgres.core.supabase|postgres.gen.bind-macro|postgres.gen.gen-bind|postgres.gen.rpc|postgres.typed|postgres.typed.export.json-openapi|postgres.typed.export.json-schema|postgres.typed.export.server-db|postgres.typed.export.ts-schema|postgres.typed.typed-analyze|postgres.typed.typed-common|postgres.typed.typed-infer|postgres.typed.typed-jsonb|postgres.typed.typed-parse|postgres.typed.typed-resolve|postgres.typed.typed-shape|xt.lang.common-notify|xt.lang.common-protocol|xt.substrate
:owner-review	20	code.project.deploy|code.framework|code.manage|tool.migrate.clojure|tool.migrate.project|std.foundation.pretty|std.foundation.string|std.fs.path|std.fs.walk|std.lib.kernel|std.substrate|tool.inrepl|tool.package|tool.project|tool.runtime|tool.sh|tool.sh.docker|tool.sh.git|tool.sh.tmux|tool.vm
:promote-in-place	114	code.query.common|code.vm.bytecode|code.vm.conformance|code.vm.halc|code.vm.interpreter|code.vm.model|code.vm.source|db.ledger.chain|db.node.client-supabase|db.node.connection|db.node.kernel-base|db.node.kernel-batch|db.node.kernel-service|db.node.kernel-supabase|db.node.lifecycle|db.node.proxy-util|db.node.runtime|db.node.serial|db.node.transport|db.postgres.connection|db.text.base-check|db.text.base-flatten|db.text.base-graph|db.text.base-schema|db.text.base-scope|db.text.base-tree|db.text.base-util|db.text.sql-call|db.text.sql-graph|db.text.sql-raw|db.text.sql-util|db.text.sql-view|lang.base.v1.grammar-spec|lang.common.book|lang.common.book-entry|lang.common.book-meta|lang.common.book-module|lang.common.compat|lang.common.compiler|lang.common.emit|lang.common.emit-assign|lang.common.emit-block|lang.common.emit-common|lang.common.emit-data|lang.common.emit-fn|lang.common.emit-helper|lang.common.emit-rewrite|lang.common.emit-special|lang.common.emit-template|lang.common.emit-top-level|lang.common.grammar-api|lang.common.grammar-spec|lang.common.preprocess-assign|lang.common.preprocess-resolve|lang.common.preprocess-staging|lang.common.registry|lang.core.compile|lang.core.eval|lang.core.registry|lang.core.rewrite.hoist|lang.core.runtime|lang.core.script|lang.model.v1.spec-hara|lang.model.v1.spec-hara.emit|lang.model.v1.spec-js|lang.model.v1.spec-lua|lang.model.v1.spec-lua.lua-rewrite|lang.model.v1.spec-postgres|lang.model.v1.spec-postgres.deftype.common|lang.model.v1.spec-postgres.deftype.emit-column|lang.model.v1.spec-postgres.deftype.emit-constraints|lang.model.v1.spec-postgres.deftype.hydrate|lang.model.v1.spec-postgres.postgres-const|lang.model.v1.spec-postgres.postgres-native|lang.model.v1.spec-postgres.postgres-trigger|lang.model.v1.spec-python|lang.model.v1.spec-python.python-rewrite|lang.model.v1.spec-xtalk|lang.runtime.basic.transport-node|lang.runtime.basic.type-basic|lang.runtime.basic.type-common|lang.runtime.basic.type-hara|lang.runtime.basic.type-oneshot|lang.runtime.basic.type-verify|lang.runtime.postgres.base.application|std.block.heal.parse|std.format.report|std.substrate.result|std.typed.explain|std.typed.registry|std.typed.schema|tool.cli.report|tool.cli.verify|tool.lint.analyze|tool.lint.profile|tool.metaspec.conforms|tool.metaspec.lint|tool.metaspec.model|tool.metaspec.report|tool.metaspec.schema|tool.metaspec.verify|work.agent.openai|work.agent.tool|work.base.execution.graph|work.base.host|work.flow.make.artifact|work.flow.make.bulk|work.flow.make.common|work.flow.make.github|work.flow.make.makefile|work.flow.make.project|work.flow.make.readme|work.flow.task.report|work.provider.ephemeral
